City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,78.33,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
2,Bengkulu,ID,73.9,overcast clouds,-3.8004,102.2655,Dena Hotel
4,Dolores,AR,86.2,overcast clouds,-36.3132,-57.6792,Plaza Hotel
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti International Resort
13,Axim,GH,78.96,few clouds,4.8699,-2.2405,Axim Beach Hotel
14,Makakilo City,US,75.18,broken clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
16,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
22,Cape Town,ZA,70.88,broken clouds,-33.9258,18.4232,Townhouse Hotel
25,Georgetown,MY,79.95,few clouds,5.4112,100.3354,Page 63 hostel
34,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Grand Bel Air
38,Hilo,US,89.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
39,Cidreira,BR,73.53,scattered clouds,-30.1811,-50.2056,Hotel Castelo
41,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
52,Chuy,UY,76.05,scattered clouds,-33.6971,-53.4616,Alerces
57,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Coco Villa
62,Kavieng,PG,79.9,heavy intensity rain,-2.5744,150.7967,Kavieng Hotel
67,Vao,NC,75.27,few clouds,-22.6667,167.4833,Nataiwatch
69,Taltal,CL,70.0,few clouds,-25.4,-70.4833,Hostería Taltal
71,Sinnamary,GF,79.21,overcast clouds,5.3833,-52.95,Hôtel du fleuve
82,Tevaitoa,PF,81.32,broken clouds,-16.7833,-151.5,Chambre d'hote
84,Bajil,YE,77.07,few clouds,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
86,Maxixe,MZ,75.02,scattered clouds,-23.8597,35.3472,Hotel Herry
93,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
94,Kapaa,US,75.18,clear sky,22.0752,-159.319,Pono Kai Resort
96,Vallenar,CL,85.95,clear sky,-28.5708,-70.7581,Hotel del Marqués
97,Isangel,VU,81.63,overcast clouds,-19.55,169.2667,Tanna Lodge
100,Atuona,PF,78.49,clear sky,-9.8,-139.0333,Pearl Resort
101,Necochea,AR,71.51,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
106,Sydney,AU,70.9,scattered clouds,-33.8679,151.2073,The Westin
118,Koumac,NC,76.48,few clouds,-20.5667,164.2833,Monitel Koumac
119,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
